ts_code,entry_date,exit_date,hold_days,entry_price,exit_price,profit_pct,entry_score,exit_reason,entry_season,exit_season
002354.SZ,2026-06-01,2026-06-02,1,7.44,6.7,-10.25,61.1,SCORE_DROP,chaos_spring,chaos_spring
300353.SZ,2026-06-01,2026-06-03,2,20.69,19.0,-8.47,69.9,SCORE_DROP,chaos_spring,chaos_spring
002580.SZ,2026-06-01,2026-06-03,2,26.71,24.31,-9.29,67.9,SCORE_DROP,chaos_spring,chaos_spring
300763.SZ,2026-06-01,2026-06-03,2,117.5,109.48,-7.13,66.9,SCORE_DROP,chaos_spring,chaos_spring
603530.SH,2026-06-01,2026-06-03,2,59.15,54.85,-7.57,64.2,SCORE_DROP,chaos_spring,chaos_spring
002606.SZ,2026-06-01,2026-06-03,2,17.62,14.95,-15.45,63.3,STOP_LOSS,chaos_spring,chaos_spring
002733.SZ,2026-06-01,2026-06-03,2,30.08,29.7,-1.56,60.6,SCORE_DROP,chaos_spring,chaos_spring
002129.SZ,2026-06-01,2026-06-03,2,9.56,9.13,-4.8,60.4,SCORE_DROP,chaos_spring,chaos_spring
601126.SH,2026-06-02,2026-06-03,1,76.66,76.5,-0.51,60.6,SCORE_DROP,chaos_spring,chaos_spring
002028.SZ,2026-06-01,2026-06-04,3,216.0,192.8,-11.04,68.6,SCORE_DROP,chaos_spring,chaos_spring
600066.SH,2026-06-01,2026-06-04,3,32.67,29.99,-8.5,65.8,SCORE_DROP,chaos_spring,chaos_spring
000927.SZ,2026-06-01,2026-06-04,3,2.74,2.58,-6.14,63.4,SCORE_DROP,chaos_spring,chaos_spring
600888.SH,2026-06-01,2026-06-04,3,11.82,10.85,-8.51,62.8,SCORE_DROP,chaos_spring,chaos_spring
600064.SH,2026-06-01,2026-06-04,3,7.75,7.35,-5.46,62.6,SCORE_DROP,chaos_spring,chaos_spring
600176.SH,2026-06-01,2026-06-04,3,38.32,38.39,-0.12,61.6,SCORE_DROP,chaos_spring,chaos_spring
600961.SH,2026-06-03,2026-06-04,1,26.07,25.14,-3.87,67.0,SCORE_DROP,chaos_spring,chaos_spring
688498.SH,2026-06-03,2026-06-04,1,1405.0,1373.9,-2.51,63.8,SCORE_DROP,chaos_spring,chaos_spring
688388.SH,2026-06-03,2026-06-04,1,48.28,46.57,-3.84,60.2,SCORE_DROP,chaos_spring,chaos_spring
