ts_code,entry_date,exit_date,hold_days,entry_price,exit_price,shares,net_pnl,profit_pct,entry_score,exit_reason,entry_season,exit_season
000852.SZ,2025-01-03,2025-01-10,5,7.48,6.55,13300,-12929,-12.43,69.2,STOP_LOSS,chaos,chaos
001222.SZ,2025-01-03,2025-01-13,6,16.84,14.93,5900,-11831,-11.34,67.7,SCORE_DROP,chaos,chaos
300570.SZ,2025-01-02,2025-02-27,34,80.35,99.22,1200,21998,23.48,68.9,SCORE_DROP,chaos,chaos_spring
002050.SZ,2025-01-10,2025-02-28,29,26.7,30.32,3700,12761,13.56,68.1,SCORE_DROP,chaos,chaos
300223.SZ,2025-02-27,2025-03-13,10,92.5,77.15,1000,-15859,-16.59,87.5,STOP_LOSS,chaos_spring,chaos
000729.SZ,2025-01-02,2025-03-14,45,11.94,12.21,8300,1640,2.26,79.4,MAX_HOLD,chaos,chaos
605060.SH,2025-01-02,2025-03-14,45,17.96,21.14,5500,16845,17.71,70.5,MAX_HOLD,chaos,chaos
603629.SH,2025-01-02,2025-03-14,45,19.82,35.05,5000,75327,76.84,68.7,MAX_HOLD,chaos,chaos
002580.SZ,2025-01-02,2025-03-14,45,8.57,15.28,11600,77006,78.3,65.3,MAX_HOLD,chaos,chaos
301396.SZ,2025-01-03,2025-03-17,45,27.2,80.1,3600,189281,194.49,63.2,MAX_HOLD,chaos,chaos_spring
688668.SH,2025-01-03,2025-03-17,45,43.5,49.49,2200,12564,13.77,62.0,MAX_HOLD,chaos,chaos_spring
601138.SH,2025-01-03,2025-03-17,45,20.55,21.52,4800,4050,4.72,61.5,MAX_HOLD,chaos,chaos_spring
688362.SH,2025-03-14,2025-03-21,5,33.05,30.08,3000,-9478,-8.99,77.5,SCORE_DROP,chaos,chaos
002329.SZ,2025-03-17,2025-03-24,5,3.97,3.49,25100,-12610,-12.09,74.6,STOP_LOSS,chaos_spring,chaos
000570.SZ,2025-02-28,2025-03-25,17,5.97,5.59,16700,-6925,-6.37,77.2,SCORE_DROP,chaos,chaos
000852.SZ,2025-03-21,2025-03-31,6,8.29,7.29,12000,-12561,-12.06,71.9,STOP_LOSS,chaos,chaos
002861.SZ,2025-03-25,2025-03-31,4,17.14,13.94,5800,-19101,-18.67,76.6,STOP_LOSS,chaos,chaos
000021.SZ,2025-03-17,2025-04-03,13,20.49,18.5,4800,-10113,-9.71,76.3,SCORE_DROP,chaos_spring,chaos
